                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    157,                0.46977,                0.30318,                0.91371,                      0,                      0,                      0,                      0,                      0,                 262.38,                      0,              0.0004556,              0.0004556,              0.0004556
                    158,                0.45993,                0.35064,                 0.9136,                      0,                      0,                      0,                      0,                      0,                 278.29,                      0,              0.0004457,              0.0004457,              0.0004457
                    159,                 0.4855,                0.34311,                0.93655,                      0,                      0,                      0,                      0,                      0,                 285.96,                      0,              0.0004358,              0.0004358,              0.0004358
                    160,                0.48079,                 0.3057,                0.92001,                      0,                      0,                      0,                      0,                      0,                 295.21,                      0,              0.0004259,              0.0004259,              0.0004259
                    161,                0.48899,                0.29629,                0.96713,                      0,                      0,                      0,                      0,                      0,                 292.04,                      0,               0.000416,               0.000416,               0.000416
                    162,                0.46362,                0.30804,                 0.9277,                      0,                      0,                      0,                      0,                      0,                 290.33,                      0,              0.0004061,              0.0004061,              0.0004061
                    163,                0.53077,                0.30096,                0.91761,                      0,                      0,                      0,                      0,                      0,                 288.21,                      0,              0.0003962,              0.0003962,              0.0003962
                    164,                0.86413,                0.49953,                 1.3234,                      0,                      0,                      0,                      0,                      0,                 290.25,                      0,              0.0003863,              0.0003863,              0.0003863
                    165,                0.42769,                0.28139,                0.87801,                      0,                      0,                      0,                      0,                      0,                 286.33,                      0,              0.0003764,              0.0003764,              0.0003764
                    166,                0.39156,                0.72656,                0.75416,                      0,                      0,                      0,                      0,                      0,                 279.08,                      0,              0.0003665,              0.0003665,              0.0003665
                    167,                0.42522,                  0.281,                0.85583,                      0,                      0,                      0,                      0,                      0,                 274.62,                      0,              0.0003566,              0.0003566,              0.0003566
                    168,                0.46368,                0.30071,                0.91165,                      0,                      0,                      0,                      0,                      0,                 269.21,                      0,              0.0003467,              0.0003467,              0.0003467
                    169,                0.42378,                0.28337,                0.87869,                      0,                      0,                      0,                      0,                      0,                 270.79,                      0,              0.0003368,              0.0003368,              0.0003368
                    170,                0.45178,                0.30275,                0.90602,                      0,                      0,                      0,                      0,                      0,                 277.62,                      0,              0.0003269,              0.0003269,              0.0003269
                    171,                0.47211,                0.28911,                0.88983,                      0,                      0,                      0,                      0,                      0,                 282.88,                      0,               0.000317,               0.000317,               0.000317
                    172,                0.50377,                0.29878,                0.95671,                      0,                      0,                      0,                      0,                      0,                 291.79,                      0,              0.0003071,              0.0003071,              0.0003071
                    173,                  0.444,                 0.2971,                0.90928,                      0,                      0,                      0,                      0,                      0,                 294.29,                      0,              0.0002972,              0.0002972,              0.0002972
                    174,                0.43567,                0.30149,                0.96221,                      0,                      0,                      0,                      0,                      0,                 297.29,                      0,              0.0002873,              0.0002873,              0.0002873
                    175,                0.42789,                0.28496,                0.92481,                      0,                      0,                      0,                      0,                      0,                 295.12,                      0,              0.0002774,              0.0002774,              0.0002774
                    176,                0.45566,                 0.2739,                0.89198,                      0,                      0,                      0,                      0,                      0,                 291.62,                      0,              0.0002675,              0.0002675,              0.0002675
                    177,                0.41069,                0.27255,                0.86428,                      0,                      0,                      0,                      0,                      0,                    292,                      0,              0.0002576,              0.0002576,              0.0002576
                    178,                0.54859,                0.32539,                0.99387,                      0,                      0,                      0,                      0,                      0,                 293.54,                      0,              0.0002477,              0.0002477,              0.0002477
                    179,                0.46727,                0.28962,                0.89293,                      0,                      0,                      0,                      0,                      0,                 293.17,                      0,              0.0002378,              0.0002378,              0.0002378
                    180,                0.47263,                0.33458,                0.92179,                      0,                      0,                      0,                      0,                      0,                 293.25,                      0,              0.0002279,              0.0002279,              0.0002279
                    181,                 0.5899,                0.37097,                0.95748,                      0,                      0,                      0,                      0,                      0,                 290.79,                      0,               0.000218,               0.000218,               0.000218
